Quarter,INDINF_OUTGAPMPR_Q,INDINF_OUTGAPR_Q,INDINF_OUTGAPI_Q,INDINF_OUTGAPM_Q,INDINF_GRACE_Q,INDINF_FAM_WIOD_Q,Housing Start,INDINF_SLSALLSEC_Q,INDINF_BOS_LSI_Q,INDINF_LMI_Q,INDINF_CPI_Q,INDINF_CPI_TRIM_Q,INDINF_CPI_MEDIAN_Q,INDINF_CPI_COMMON_Q,INDINF_LFSWC_Q,INDINF_NACWC_Q,INDINF_PAWC_Q,INDINF_SEPHWC_Q,INDINF_WC_Q,INDINF_NHPI_Q,INDINF_AFFORD,INDINF_FOURORMORE_Q,INDINF_ONEORLESS_Q,INDINF_THREEORLESS_Q,INDINF_TWOORLESS_Q,INDINF_ROS1TO2_Q,INDINF_ROS2TO3_Q,INDINF_ROSBELOW1_Q,INDINF_ROSOVER3_Q,INDINF_EXPECTSIXTEN_Q,INDINF_EXPECTTWOTHREE_Q,INDINF_INFEXP_BOND_Q,10 Year Bond
1981Q1,3.2,,3.7,2.8,,,,,,,,,,,,,,,,,0.498,,,,,,,,,,,,13.16333333
1981Q2,3.5,,3.9,3.3,,,,,,,,,,,,,,,,,0.552,,,,,,,,,,,,14.78333333
1981Q3,1.9,,2,1.8,,,,,,,,,,,,,,,,,0.646,,,,,,,,,,,,16.44666667
1981Q4,0.7,,0.7,0.7,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,15.56333333
1982Q1,-1.2,,-1.3,-1,,,,,,,,,,,,,,,,,0.563,,,,,,,,,,,,15.47666667
1982Q2,-3,,-3.2,-2.8,,,,,,,,,,,,,,,,,0.553,,,,,,,,,,,,15.19666667
1982Q3,-4.6,,-4.7,-4.2,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,15.017
1982Q4,-6.2,,-6.3,-5.7,,,,,,,,,,,,,,,,,0.433,,,,,,,,,,,,12.051
1983Q1,-5.2,,-5.5,-4.8,,,,,,,,,,,,,,,,,0.392,,,,,,,,,,,,11.32783333
1983Q2,-4,,-4.3,-3.5,,,,,,,,,,,,,,,,,0.392,,,,,,,,,,,,10.94116667
1983Q3,-3.5,,-3.8,-3.1,,,,,,,,,,,,,,,,,0.378,,,,,,,,,,,,11.70916667
1983Q4,-3,,-3.2,-2.6,,,,,,,,,,,,,,,,,0.366,,,,,,,,,,,,11.61616667
1984Q1,-1.9,,-2.2,-1.7,,,,,,,,,,,,,,,,,0.361,,,,,,,,,,,,12.144
1984Q2,-0.7,,-0.9,-0.6,,,,,,,,,,,,,,,,,0.386,,,,,,,,,,,,13.51416667
1984Q3,-1,,-1.1,-0.9,,,,,,,,,,,,,,,,,0.402,,,,,,,,,,,,13.1365
1984Q4,-0.2,,-0.2,-0.2,,,,,,,,,,,,,,,,,0.368,,,,,,,,,,,,12.0455
1985Q1,0.6,,0.7,0.5,,,,,,,,,,,,,,,,,0.353,,,,,,,,,,,,11.807
1985Q2,0.2,,0.4,0,,,,,,,,,,,,,,,,,0.329,,,,,,,,,,,,11.04466667
1985Q3,0.7,,1,0.5,,,,,,,,,,,,,,,,,0.328,,,,,,,,,,,,10.6605
1985Q4,1.5,,1.9,1.2,,,,,,,,,,,,,,,,,0.333,,,,,,,,,,,,10.13516667
1986Q1,0.8,,1.2,0.3,,,,,,,,,,,,,,,,,0.346,,,,,,,,,,,,9.804
1986Q2,0.6,,1.2,0.1,,,,,,,,,,,,,,,,,0.333,,,,,,,,,,,,8.966833333
1986Q3,0.1,,0.7,-0.5,,,,,,,,,,,,,,,,,0.348,,,,,,,,,,,,8.899833333
1986Q4,-1.3,,-0.7,-1.9,,,,,,,,,,,,,,,,,0.366,,,,,,,,,,,,8.9115
1987Q1,0.3,,1,-0.4,,,,,,,,,,,,,,,,,0.359,,,,,,,,,,,,8.356666667
1987Q2,0.9,,1.7,0.2,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,9.251
1987Q3,1.8,,2.6,1,,,,,,,,,,,,,,,,,0.389,,,,,,,,,,,,10.13033333
1987Q4,2.4,,3.3,1.6,,,,,,,,,,,,,,,,,0.405,,,,,,,,,,,,10.14483333
1988Q1,3.2,,4.1,2.5,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,9.445666667
1988Q2,3.5,,4.3,2.8,,,,,,,,,,,,,,,,,0.413,,,,,,,,,,,,9.785666667
1988Q3,2.9,,3.6,2.2,,,,,,,,,,,,,,,,,0.436,,,,,,,,,,,,10.09733333
1988Q4,3,,3.6,2.4,,,,,,,,,,,,,,,,,0.447,,,,,,,,,,,,9.995
1989Q1,3.5,,4.1,3.1,,,,,,,,,,,,,,,,,0.486,,,,,,,,,,,,10.31527489
1989Q2,3.4,,3.8,3.1,,,,,,,,,,,,,,,,,0.491,,,,,,,,,,,,9.886393939
1989Q3,3.2,,3.6,3,,,,,,,,,,,,,,,,,0.481,,,,,,,,,,,,9.40730303
1989Q4,2.6,,2.8,2.4,,,,,,,,,,,,,,,,,0.485,,,,,,,,,,,,9.520041353
1990Q1,2,,3.2,3.1,,,787.014,,,,,,,,,,,,,,0.496,,,,,,,,,,,,10.30887879
1990Q2,1.3,,2.3,2.3,,,614.789,,,,,,,,,,,,,,0.546,,,,,,,,,,,,11.1345
1990Q3,0.3,,1.2,1.2,,,478.901,,,,,,,,,,,,,,0.512,,,,,,,,,,,,10.77958647
1990Q4,-0.8,,-0.1,0,,,432.508,,,,,,,,,,,,,,0.484,,,,,,,,,,,,10.68534518
1991Q1,-2.3,,-1.9,-1.7,,,354.879,,,,,,,,,,,,,,0.449,,,,,,,,,,,,9.762787879
1991Q2,-2.3,,-1.8,-1.6,,,444.183,,,,,,,,,,,,,,0.449,,,,,,,,,,,,9.676257576
1991Q3,-2.5,,-2.1,-1.7,,,529.299,,,,,,,,,,,,,,0.449,,,,,,,,,,,,9.720051948
1991Q4,-2.6,,-2.3,-1.8,,,530.716,,,,,,,,,,,,,,0.409,,,,,,,,,,,4.6,8.664606061
1992Q1,-2.9,,-2.6,-2,43.8,53.6,524.438,,,,,,,,,,,,,,0.398,,,,,,,,,,,4.5,8.424151515
1992Q2,-3,,-2.9,-2.3,44.5,54.1,507.586,,,,,,,,,,,,,,0.395,,,,,,,,,,,4.4,8.524069264
1992Q3,-2.9,,-2.8,-2.1,45,54.6,519.012,,,,,,,,,,,,,,0.352,,,,,,,,,,,3.5,7.498201299
1992Q4,-2.8,,-2.6,-2,45.4,55.3,502.981,,,,,,,,,,,,,,0.382,,,,,,,,,,,3.7,7.798507937
1993Q1,-2.5,,-2.4,-1.8,46,55.5,447.357,,,,2.2,2,1.9,1.8,,,,,,1.1,0.376,2,24,98,79,,,,,2.7,2.5,3.6,7.690471014
1993Q2,-2.1,,-2,-1.4,46.4,55.9,460.144,,,,1.8,1.9,1.8,1.6,,,,,,1.5,0.353,2,23,98,85,,,,,2.7,2.5,3.7,7.496675325
